Ticker: IBM  Created on: 11/9/2016 9:30:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20160603, 152.399994, 153.039993, 151.699997, 152.889999, 2314800, 150.218063, 0, 1, 151.3090285, -999
20160602, 152.589996, 153.5, 152.119995, 153.5, 2642600, 150.817403, 0, 1, 151.7036995, -999
20160601, 153, 153.270004, 151.539993, 152.509995, 2663400, 149.844699, 0, 1, 151.4223495, -999
20160531, 152.559998, 153.809998, 152.270004, 153.740005, 5836600, 151.053214, 0, 1, 151.806606, -999
20160527, 152.350006, 152.929993, 152.149994, 152.839996, 2422100, 150.168934, 0, 1, 151.25947, -999
20160526, 151.550003, 152.509995, 151.050003, 152.440002, 3062900, 149.77593, 0, 1, 150.6629665, -999
20160525, 148.929993, 152.089996, 148.5, 151.690002, 4355300, 149.039037, 0, 1, 148.984515, -999
20160524, 146.880005, 148.75, 146.880005, 148.309998, 2929300, 145.718102, 0, 1, 146.2990535, -999
20160523, 147.610001, 147.949997, 146.660004, 146.770004, 2103800, 144.205022, 0, 1, 145.9075115, -999
20160520, 145.710007, 147.509995, 145.550003, 147.25, 3671500, 144.676629, 0, 1, 145.193318, -999
20160519, 146.479996, 146.929993, 143.960007, 144.929993, 3685600, 142.397167, 0, 1, 144.4385815, -999
20160518, 147.990005, 148.520004, 146.360001, 147.339996, 2491100, 144.765053, 0, 1, 146.377529, -999
20160517, 149.210007, 149.5, 147.289993, 148, 3490600, 145.413522, 0, 1, 147.3117645, -999
20160516, 147.649994, 149.990005, 147.440002, 149.460007, 3069100, 146.848014, 0, 1, 147.249004, -999
20160513, 148.789993, 149.860001, 147.419998, 147.720001, 2398000, 145.138417, 0, 1, 146.964205, -999
20160512, 149.210007, 149.389999, 147.110001, 148.839996, 3249200, 146.238839, 0, 1, 147.724423, -999
20160511, 149.710007, 151.089996, 148.740005, 148.949997, 3093000, 146.346917, 0, 1, 148.028462, -999
20160510, 148.240005, 150.039993, 147.740005, 149.970001, 3992700, 147.349095, 0, 1, 147.79455, -999
20160509, 147.699997, 148.199997, 147.009995, 147.339996, 4302400, 144.765053, 0, 1, 146.232525, -999
20160506, 144.860001, 147.970001, 144.470001, 147.289993, 4880300, 144.715924, 0, 1.03, 144.7879625, -999
20160505, 145.949997, 147.300003, 145.449997, 146.470001, 6501200, 142.534726, 0, 1, 144.2423615, -999
20160504, 143.360001, 145, 143.309998, 144.25, 2577100, 140.37437, 0, 1, 141.8671855, -999
20160503, 144.649994, 144.899994, 142.899994, 144.130005, 3553500, 140.257599, 0, 1, 142.4537965, -999
